region,variety,rating
"Pessac-Leognan, Bordeaux, France",Red Wine,90.0
Spain,Sparkling & Champagne,88.0
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,96.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,90.0
"Burgundy, France",White Wine,94.0
"Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,90.0
Argentina,Red Wine,88.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,95.0
"Barolo, Piedmont, Italy",Red Wine,94.0
Portugal,White Wine,90.0
"Central Coast, California",Red Wine,92.0
"Central Coast, California",Red Wine,92.0
"Alsace, France",White Wine,91.0
"Willamette Valley, Oregon",White Wine,90.0
"Columbia Valley, Washington",Red Wine,90.0
"Napa Valley, California",Red Wine,94.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Rioja, Spain",Red Wine,91.0
"Eden Valley, Barossa, South Australia, Australia",White Wine,90.0
"Monterey, Central Coast, California",White Wine,90.0
"Howell Mountain, Napa Valley, California",Red Wine,96.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
"Burgundy, France",White Wine,91.0
"Bordeaux, France",Red Wine,87.0
"Willamette Valley, Oregon",White Wine,89.0
"Columbia Valley, Washington",White Wine,87.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,91.0
"Napa Valley, California",Red Wine,97.0
"Sonoma County, California",Sparkling & Champagne,93.0
"Columbia Valley, Washington",Red Wine,90.0
"Willamette Valley, Oregon",Sparkling & Champagne,94.0
"Saint-Joseph, Rhone, France",Red Wine,92.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,92.0
"Napa Valley, California",Red Wine,91.0
"Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,90.0
"Champagne, France",Sparkling & Champagne,90.0
"Burgundy, France",Red Wine,88.0
"Napa Valley, California",Red Wine,96.0
"Russian River, Sonoma County, California",Red Wine,96.0
"Paso Robles, Central Coast, California",Red Wine,90.0
"St. Helena, Napa Valley, California",Red Wine,96.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,94.0
"Piedmont, Italy",Red Wine,93.0
"Central Coast, California",Red Wine,90.0
"Pessac-Leognan, Bordeaux, France",White Wine,92.0
"Green Valley, Russian River, Sonoma County, California",Sparkling & Champagne,91.0
Australia,Red Wine,91.0
"Yakima Valley, Columbia Valley, Washington",Red Wine,93.0
Argentina,Red Wine,90.0
"Tuscany, Italy",Red Wine,97.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Spring Mountain District, Napa Valley, California",Red Wine,94.0
"Tuscany, Italy",Red Wine,89.0
"Napa Valley, California",Red Wine,92.0
"Jumilla, Spain",Red Wine,92.0
"Napa Valley, California",Red Wine,90.0
California,Red Wine,88.0
"Sicily, Italy",,94.0
"Condrieu, Rhone, France",White Wine,92.0
"Tuscany, Italy",Red Wine,91.0
"St-Julien, Bordeaux, France",Red Wine,90.0
